Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
163,anjok_,camp,,,noun,,2,,,,,,
164,jok_,camp; live; dwell,jax_jok_,,intransitive verb,,1,2,,,,,
165,gwisgwoos,Canada jay; camprobber,,,noun,,2,,,,,,
166,laaxwsim hix,candle,,,noun,,"1,3",,,,,,
167,k_'aat',cane,,,noun,,1,,,,,,
168,.'mal,canoe,hu'mal,,noun,,1,2,,,,,
169,ts'ilaasxw,canyon,,,noun,,2,,,,,,
170,wijix,caribou,,,noun,,2,,,,,,
171,wilk_(t),carry; transport,,,verb,,1,,,,,verb - check transitivity,T-verb?
172,duus,cat,,,noun,,1,,,,,,
173,.'mukw,catch (fish),,,transitive verb,,1,,,,,,
174,noosik_,caterpillar,,,noun,,1,,,,,,
175,sanakwa,a caterpillar species,,,noun,,3,,,,,,
176,ts'iipxw,be caught (in snare); be tied up,,,intransitive verb,,1,,,,,,
177,gun,cause to; make; tell to,,,preverb,,1,,,,,,
178,hat'a'l,cedar bark,,,noun,,2,,,,,,
179,ma'ulkw,cedar rope,,,noun,,2,,,,,,
180,am hat'a'l,cedar tree,,,noun,,3,,,,,,
181,anyuust,cellar; storage pit,,,noun,,2,,,,,,
182,ha'niit'aa,chair,,,noun,,3,,,,,,
183,t'uuts',coal; charcoal,,,noun,,1,,,,,,
184,k_'eeg_an,chase,huudin,,transitive verb,,1,1,,,,,
185,do'o,cheek; cheeks; gills,,dido'o,noun,,1,,,,,,
186,k_'uhlx_,chest,,,noun,,1,,,,,,
187,g_e'n,chew,,,transitive verb,,1,,,,,,
188,sk'iik; sk'ik',chickadee,,,noun,,1,,,,,,
189,tsigins,chicken,,,noun,,1,,,,,,
190,mis'moot'ixs,chickenhawk,,,noun,,2,,,,,,
191,sim'oogit,chief,simgigyat,,noun,,2,3,,,,,
192,sigidimnak_',chieftainess,sigidimhaanak_',,noun,,4,4,,,,,
193,hlgu tk'ihlxw; hlgu t'ihlxw,child,k'uba tk'ihlxw; k'uba t'ihlxw,,noun,,2,3,,,,,
194,g_an mi'in,chimney,,,noun,,3,,,,,,
195,k_'ets',chin,,,noun,,1,,,,,,
196,jayn,Chinese; Chinese person,,,noun,,1,,,,,,
197,hawoonax_hlxw,chisel,,,noun,,2,,,,,,
198,t'ok_(t),choke,,,transitive verb,,1,,,,,choke on? choke someone?,T-verb?
199,.'mii ts'ok_',chokecherry,,,noun,,2,,,,,,
200,daax,circumference; outer surface; perimeter,,,noun,,1,,,,,,
201,ts'ak_',clam,,,noun,,1,,,,,,
202,psa,grey clay,,,noun,,1,,,,,,
203,saksxw,be clean,sixsaksxw,,intransitive verb,,1,2,,,,,
204,k_'alt,clear (land),,,transitive verb,,1,,,,,check transitivity,
205,ts'i'naast,clearing; open space among trees,,,noun,,2,,,,,,
206,hlaky'ax_sxw,climb,,,verb,,2,,,,,check transitivity,
207,.'min pdaltxw,climb,,,transitive verb,,2,,,,,check transitivity,
208,hi'la,close; nearby,,,preverb,,1,,,,,,
209,sg_a t'is,close,,,transitive verb,,2,,,,,,
210,ts'iip,close one's eyes,,,verb,,1,,,,,check transitivity,
211,hahlo'o,cloth; sail,,,noun,,2,,,,,,
212,haxhooyasxw,clothes,,,noun,,2,,,,,,
213,ha'niilisa,clothesline,,,noun,,3,,,,,,
214,yeen,cloud,,,noun,,1,,,,,,
215,g_am t'uuts',coal,,,noun,,2,,,,,,
216,gwidats',coat,,,noun,,2,,,,,,
217,g_aldim x_coffee; g_aldim x_kopii,coffeepot,,,noun,,"1,3",,,,,,
218,eek_,coho salmon,,,noun,,1,,,,,,
219,gimilak,small coho salmon,,,noun,,3,,,,,,
220,x_atxw,be cold (of a person),,,intransitive verb,,1,,,,,,
221,gwineek_xw,be cold,,,intransitive verb,,2,,,,,,
222,wit,collarbone; rack for drying salmon,,,noun,,1,,,,,,
223,hapts'a'y,comb,,,noun,,2,,,,,,
224,aat'ixs,come; approach,at-aat'ixs,,intransitive verb,,1,2,,,,,
225,g_ala,come here!,g_alsi'm,,command,,1,1,,,,,
226,.'naa,complete an action,,,preverb,,,,,,,same as other 'naa or separate?,
227,meek_,pine cone,,,noun,,1,,,,,,
228,guxws itxws,confess; call oneself out,,,intransitive verb,,2,,,,,,
229,ankwsin,cook,,,transitive verb,,1,,,,,,
230,jam,cook; boil,jimjam,,transitive verb,,1,2,,,,,
231,ankws,be cooked,,,intransitive verb,,1,,,,,,
232,sigwineek_xw,cool,,,transitive verb,,3,,,,,check transitivity,
233,uuk_,copper,,,noun,,1,,,,,,
234,hayatsxw,copper shield,,,noun,,2,,,,,,
235,luulak_',corpse; ghost,,,noun,,1,,,,,,
236,hogyax_; hugwax_,be correct; be right; be appropriate,,,intransitive verb,,1,,,,,,
,hogyax_; hugwax_,resemble; be like; be similar,,,transitive verb,,1,,,,,,
237,am 'mal,cottonwood tree,,,noun,,2,,,,,,
238,x_lilst,cough,,,intransitive verb,,1,,,,,,
239,litsx_xw,count; read,,,intransitive verb,,1,,,,,check transitivity,
240,litsx_,count; read,,,transitive verb,,1,,,,,,
241,habax_,cover; lid,,,noun,,1,,,,,,
242,hapt,cover; put a lid on,,,transitive verb,,1,,,,,,
243,usim sbaayt g_an,coyote,,,noun,,"1,4",,,,,,
244,k_'al moos,crab,,,noun,,2,,,,,,
245,milikst,crabapple,,,noun,,1,,,,,,
246,t'imi'yt,lowbush cranberry,,,noun,,2,,,,,,
247,ts'idipxst,high-bush cranberry,,,noun,,2,,,,,,
247,sbikst,high-bush cranberry,,,noun,,1,,,,,,
248,g_adalk_,crane,,,noun,,2,,,,,,
249,seeg_atxw,crawl on one's belly,,,intransitive verb,,1,,,,,,
250,.'malu,be crazy,.'mag_alu,,intransitive verb,,2,3,,,,,
251,ayukws,crest,,,noun,,2,,,,,,
